,state,state_po,year,candidate,party,candidatevotes,Electoral_College_Votes
268,Illinois,IL,2000,GEORGE W. BUSH,REPUBLICAN,2019421,20.0
269,Illinois,IL,2000,OTHER,OTHER,29917,20.0
270,Illinois,IL,2000,RALPH NADER,GREEN,103759,20.0
271,Illinois,IL,2004,GEORGE W. BUSH,REPUBLICAN,2346608,20.0
272,Illinois,IL,2004,JOHN KERRY,DEMOCRAT,2891989,20.0
273,Illinois,IL,2004,OTHER,OTHER,36818,20.0
274,Illinois,IL,2008,BARACK OBAMA,DEMOCRAT,3419673,20.0
275,Illinois,IL,2008,JOHN MCCAIN,REPUBLICAN,2031527,20.0
276,Illinois,IL,2008,OTHER,OTHER,71851,20.0
277,Illinois,IL,2012,BARACK OBAMA,DEMOCRAT,3019512,20.0
278,Illinois,IL,2012,MITT ROMNEY,REPUBLICAN,2135102,20.0
279,Illinois,IL,2012,OTHER,OTHER,87277,20.0
280,Illinois,IL,2016,DONALD TRUMP,REPUBLICAN,2146015,20.0
281,Illinois,IL,2016,HILLARY CLINTON,DEMOCRAT,3090729,20.0
282,Illinois,IL,2016,OTHER,OTHER,321963,20.0
283,Illinois,IL,2020,DONALD J TRUMP,REPUBLICAN,2446891,20.0
284,Illinois,IL,2020,JO JORGENSEN,LIBERTARIAN,66544,20.0
285,Illinois,IL,2020,JOSEPH R BIDEN JR,DEMOCRAT,3471915,20.0
286,Illinois,IL,2020,OTHER,GREEN,30578,20.0
287,Illinois,IL,2020,OTHER,OTHER,17816,20.0
288,Indiana,IN,2000,AL GORE,DEMOCRAT,901980,11.0
289,Indiana,IN,2000,GEORGE W. BUSH,REPUBLICAN,1245836,11.0
290,Indiana,IN,2000,OTHER,OTHER,32983,11.0
291,Indiana,IN,2000,RALPH NADER,GREEN,18506,11.0
292,Indiana,IN,2004,GEORGE W. BUSH,REPUBLICAN,1479438,11.0
293,Indiana,IN,2004,JOHN KERRY,DEMOCRAT,969011,11.0
294,Indiana,IN,2004,OTHER,OTHER,19553,11.0
295,Indiana,IN,2008,BARACK OBAMA,DEMOCRAT,1374039,11.0
296,Indiana,IN,2008,JOHN MCCAIN,REPUBLICAN,1345648,11.0
297,Indiana,IN,2008,OTHER,OTHER,31367,11.0
298,Indiana,IN,2012,BARACK OBAMA,DEMOCRAT,1152887,11.0
299,Indiana,IN,2012,MITT ROMNEY,REPUBLICAN,1420543,11.0
300,Indiana,IN,2012,OTHER,OTHER,51104,11.0
301,Indiana,IN,2016,DONALD TRUMP,REPUBLICAN,1557286,11.0
302,Indiana,IN,2016,HILLARY CLINTON,DEMOCRAT,1033126,11.0
303,Indiana,IN,2016,OTHER,OTHER,144546,11.0
304,Indiana,IN,2020,DONALD J TRUMP,REPUBLICAN,1729519,11.0
305,Indiana,IN,2020,JO JORGENSEN,LIBERTARIAN,59232,11.0
306,Indiana,IN,2020,JOSEPH R BIDEN JR,DEMOCRAT,1242416,11.0
307,Indiana,IN,2020,OTHER,GREEN,989,11.0
308,Indiana,IN,2020,OTHER,OTHER,965,11.0
309,Iowa,IA,2000,AL GORE,DEMOCRAT,638517,6.0
310,Iowa,IA,2000,GEORGE W. BUSH,REPUBLICAN,634373,6.0
311,Iowa,IA,2000,OTHER,OTHER,13299,6.0
312,Iowa,IA,2000,RALPH NADER,GREEN,29374,6.0
313,Iowa,IA,2004,GEORGE W. BUSH,REPUBLICAN,751957,6.0
314,Iowa,IA,2004,JOHN KERRY,DEMOCRAT,741898,6.0
315,Iowa,IA,2004,OTHER,OTHER,13053,6.0
316,Iowa,IA,2008,BARACK OBAMA,DEMOCRAT,828940,6.0
317,Iowa,IA,2008,JOHN MCCAIN,REPUBLICAN,682379,6.0
318,Iowa,IA,2008,OTHER,OTHER,25501,6.0
319,Iowa,IA,2012,BARACK OBAMA,DEMOCRAT,822544,6.0
320,Iowa,IA,2012,MITT ROMNEY,REPUBLICAN,730617,6.0
321,Iowa,IA,2012,OTHER,OTHER,29019,6.0
322,Iowa,IA,2016,DONALD TRUMP,REPUBLICAN,800983,6.0
323,Iowa,IA,2016,HILLARY CLINTON,DEMOCRAT,653669,6.0
324,Iowa,IA,2016,OTHER,OTHER,111379,6.0
325,Iowa,IA,2020,DONALD J TRUMP,REPUBLICAN,902009,6.0
326,Iowa,IA,2020,JO JORGENSEN,LIBERTARIAN,19637,6.0
327,Iowa,IA,2020,JOSEPH R BIDEN JR,DEMOCRAT,759061,6.0
328,Iowa,IA,2020,OTHER,GREEN,3075,6.0
329,Iowa,IA,2020,OTHER,OTHER,7089,6.0
330,Kansas,KS,2000,AL GORE,DEMOCRAT,399276,6.0
331,Kansas,KS,2000,GEORGE W. BUSH,REPUBLICAN,622332,6.0
