,state,year,candidate,candidatevotes,Electoral_College_Votes,candidatevotespercent
153,Missouri,2012,"['Democrat Barack Obama'|'Republican Mitt Romney'|'Other']","[1223796|1482440|51076]",10.0,"[44.38|53.76|1.85]"
154,Missouri,2016,"['Democrat Hillary Clinton'|'Republican Donald Trump'|'Other']","[1071068|1594511|141802]",10.0,"[38.15|56.8|5.05]"
155,Missouri,2020,"['Democrat Joseph R Biden Jr'|'Republican Donald J Trump'|'Green Other'|'Libertarian Jo Jorgensen'|'Other']","[1253014|1718736|8947|41205|4060]",10.0,"[41.41|56.8|0.3|1.36|0.13]"
156,Montana,2000,"['Democrat Al Gore'|'Republican George W. Bush'|'Green Ralph Nader'|'Other']","[137126|240178|24437|9245]",3.0,"[33.37|58.44|5.95|2.25]"
157,Montana,2004,"['Democrat John Kerry'|'Republican George W. Bush'|'Other']","[173710|266063|10661]",3.0,"[38.57|59.07|2.37]"
158,Montana,2008,"['Democrat Barack Obama'|'Republican John Mccain'|'Other']","[232156|243860|20056]",3.0,"[46.8|49.16|4.04]"
159,Montana,2012,"['Democrat Barack Obama'|'Republican Mitt Romney'|'Other']","[201839|267928|14165]",3.0,"[41.71|55.36|2.93]"
160,Montana,2016,"['Democrat Hillary Clinton'|'Republican Donald Trump'|'Other']","[177709|279240|40198]",3.0,"[35.75|56.17|8.09]"
161,Montana,2020,"['Democrat Joseph R Biden Jr'|'Republican Donald J Trump'|'Libertarian Jo Jorgensen']","[244786|343602|15252]",3.0,"[40.55|56.92|2.53]"
162,Nebraska,2000,"['Democrat Al Gore'|'Republican George W. Bush'|'Green Ralph Nader'|'Other']","[231780|433862|24540|6837]",5.0,"[33.25|62.25|3.52|0.98]"
163,Nebraska,2004,"['Democrat John Kerry'|'Republican George W. Bush'|'Other']","[254328|512814|11044]",5.0,"[32.68|65.9|1.42]"
164,Nebraska,2008,"['Democrat Barack Obama'|'Republican John Mccain'|'Other']","[333319|452979|14983]",5.0,"[41.6|56.53|1.87]"
165,Nebraska,2012,"['Democrat Barack Obama'|'Republican Mitt Romney'|'Other']","[302081|475064|17234]",5.0,"[38.03|59.8|2.17]"
166,Nebraska,2016,"['Democrat Hillary Clinton'|'Republican Donald Trump'|'Other']","[284494|495961|63772]",5.0,"[33.7|58.75|7.55]"
167,Nebraska,2020,"['Democrat Joseph R Biden Jr'|'Republican Donald J Trump'|'Libertarian Jo Jorgensen']","[374583|556846|20283]",5.0,"[39.36|58.51|2.13]"
168,Nevada,2000,"['Democrat Al Gore'|'Republican George W. Bush'|'Green Ralph Nader'|'Other']","[279978|301575|15008|12409]",6.0,"[45.98|49.52|2.46|2.04]"
169,Nevada,2004,"['Democrat John Kerry'|'Republican George W. Bush'|'Other']","[397190|418690|13707]",6.0,"[47.88|50.47|1.65]"
170,Nevada,2008,"['Democrat Barack Obama'|'Republican John Mccain'|'Other']","[533736|412827|21285]",6.0,"[55.15|42.65|2.2]"
171,Nevada,2012,"['Democrat Barack Obama'|'Republican Mitt Romney'|'Other']","[531373|463567|19978]",6.0,"[52.36|45.68|1.97]"
172,Nevada,2016,"['Democrat Hillary Clinton'|'Republican Donald Trump'|'Other']","[539260|512058|74067]",6.0,"[47.92|45.5|6.58]"
173,Nevada,2020,"['Democrat Joseph R Biden Jr'|'Republican Donald J Trump'|'Libertarian Jo Jorgensen'|'Other']","[703314|669608|14774|17215]",6.0,"[50.06|47.66|1.05|1.23]"
174,New Hampshire,2000,"['Democrat Al Gore'|'Republican George W. Bush'|'Green Ralph Nader'|'Other']","[266348|273559|22198|6976]",4.0,"[46.8|48.07|3.9|1.23]"
175,New Hampshire,2004,"['Democrat John Kerry'|'Republican George W. Bush'|'Other']","[340511|331237|5914]",4.0,"[50.25|48.88|0.87]"
176,New Hampshire,2008,"['Democrat Barack Obama'|'Republican John Mccain'|'Other']","[384826|316534|9610]",4.0,"[54.13|44.52|1.35]"
177,New Hampshire,2012,"['Democrat Barack Obama'|'Republican Mitt Romney'|'Other']","[369561|329918|11452]",4.0,"[51.98|46.41|1.61]"
178,New Hampshire,2016,"['Democrat Hillary Clinton'|'Republican Donald Trump'|'Other']","[348526|345790|49980]",4.0,"[46.83|46.46|6.72]"
179,New Hampshire,2020,"['Democrat Joseph R Biden Jr'|'Republican Donald J Trump'|'Libertarian Jo Jorgensen']","[424937|365660|13236]",4.0,"[52.86|45.49|1.65]"
180,New Jersey,2000,"['Democrat Al Gore'|'Republican George W. Bush'|'Green Ralph Nader'|'Other']","[1788850|1284173|94554|19649]",14.0,"[56.13|40.29|2.97|0.62]"
181,New Jersey,2004,"['Democrat John Kerry'|'Republican George W. Bush'|'Other']","[1911430|1668003|30258]",14.0,"[52.95|46.21|0.84]"
182,New Jersey,2008,"['Democrat Barack Obama'|'Republican John Mccain'|'Other']","[2215422|1613207|9869]",14.0,"[57.72|42.03|0.26]"
183,New Jersey,2012,"['Democrat Barack Obama'|'Republican Mitt Romney'|'Other']","[2125101|1477568|37623]",14.0,"[58.38|40.59|1.03]"
184,New Jersey,2016,"['Democrat Hillary Clinton'|'Republican Donald Trump'|'Other']","[2148278|1601933|123835]",14.0,"[55.45|41.35|3.2]"
185,New Jersey,2020,"['Democrat Joseph R Biden Jr'|'Republican Donald J Trump'|'Green Other'|'Libertarian Jo Jorgensen'|'Other']","[2608335|1883274|14202|31677|11865]",14.0,"[57.33|41.4|0.31|0.7|0.26]"
186,New Mexico,2000,"['Democrat Al Gore'|'Republican George W. Bush'|'Green Ralph Nader'|'Other']","[286783|286417|21251|4154]",5.0,"[47.91|47.85|3.55|0.69]"
187,New Mexico,2004,"['Democrat John Kerry'|'Republican George W. Bush'|'Other']","[370942|376930|8432]",5.0,"[49.05|49.84|1.11]"
188,New Mexico,2008,"['Democrat Barack Obama'|'Republican John Mccain'|'Other']","[472422|346832|10904]",5.0,"[56.91|41.78|1.31]"
189,New Mexico,2012,"['Democrat Barack Obama'|'Republican Mitt Romney'|'Other']","[415335|335788|32635]",5.0,"[52.99|42.84|4.16]"
